Country,year,value
Australia,1960,66.86484014
Australia,1961,66.25647668
Australia,1962,64.83406097
Australia,1963,63.13019491
Australia,1964,61.65416064
Australia,1965,58.79107554
Australia,1966,59.38442785
Australia,1967,58.38132252
Australia,1968,56.93506211
Australia,1969,54.85899881
Australia,1970,50.37013116
Australia,1971,48.64864865
Australia,1972,49.40042378
Australia,1973,46.6566588
Australia,1974,49.47449045
Australia,1975,49.47252106
Australia,1976,51.0448892
Australia,1977,51.25951963
Australia,1978,51.56289708
Australia,1979,52.37379969
Australia,1980,53.49347154
Australia,1981,52.6313276
Australia,1982,52.78252017
Australia,1983,54.39462833
Australia,1984,54.12275263
Australia,1985,56.29484373
Australia,1986,56.07817968
Australia,1987,57.59797254
Australia,1988,57.67885979
Australia,1989,58.29383886
Australia,1990,54.24962026
Australia,1991,55.74543727
Australia,1992,56.35778357
Australia,1993,55.97708621
Australia,1994,54.23980802
Australia,1995,53.00471437
Australia,1996,55.43891018
Australia,1997,56.67670828
Australia,1998,56.58411768
Australia,1999,56.94838668
Australia,2000,56.07162392
Australia,2001,56.10629058
Australia,2002,56.12466689
Australia,2003,53.81996278
Australia,2004,53.70543215
Australia,2005,54.86556846
Australia,2006,55.83018744
Australia,2007,53.81603446
Australia,2008,53.60804762
Australia,2009,54.47994911
Australia,2010,53.25788537
Australia,2011,51.60339814
Australia,2012,50.66328797
Australia,2013,46.09782635
Australia,2014,44.18978885
Australia,2015,45.00333723
Australia,2016,44.95217106
Canada,1960,25.75328403
Canada,1961,23.4996412
Canada,1962,22.71858407
Canada,1963,22.09136703
Canada,1964,21.850761
Canada,1965,21.5028431
Canada,1966,20.29356449
Canada,1967,20.34888259
Canada,1968,19.97318063
Canada,1969,19.24751578
Canada,1970,17.23723208
Canada,1971,15.85947981
Canada,1972,16.32142548
Canada,1973,13.64094975
Canada,1974,12.44898727
Canada,1975,15.44385145
Canada,1976,14.812434
Canada,1977,15.94641702
Canada,1978,16.72691684
Canada,1979,17.21234644
Canada,1980,18.32863135
Canada,1981,19.47843736
Canada,1982,21.33928571
Canada,1983,22.90264693
Canada,1984,24.20106668
Canada,1985,23.6555403
Canada,1986,22.85191791
Canada,1987,22.97713168
Canada,1988,23.35104972
Canada,1989,23.09318009
Canada,1990,22.39641773
Canada,1991,23.73830359
Canada,1992,23.87079272
Canada,1993,22.10454552
Canada,1994,21.94500866
Canada,1995,21.88942024
Canada,1996,21.69829044
Canada,1997,22.32936556
Canada,1998,23.42387029
Canada,1999,22.98077513
Canada,2000,23.72584602
Canada,2001,23.90776364
Canada,2002,22.16166841
Canada,2003,21.06090912
Canada,2004,20.5870738
Canada,2005,20.61966562
Canada,2006,21.36411943
Canada,2007,20.0426637
Canada,2008,20.43576045
Canada,2009,16.94649693
Canada,2010,16.25520793
Canada,2011,14.17002392
Canada,2012,13.80436433
Canada,2013,12.42700063
Canada,2014,13.34748055
Canada,2015,12.6468189
Canada,2016,11.96464667
India,1960,80.61612383
India,1961,80.48705042
India,1962,79.6186484
India,1963,79.27128204
India,1964,77.77615501
India,1965,77.61428161
India,1966,75.33784505
India,1967,76.48711944
India,1968,73.11644841
India,1969,71.55024899
India,1970,70.03532772
India,1971,68.22286742
India,1972,68.23155131
India,1973,67.94978669
India,1974,69.44281988
India,1975,70.76305688
India,1976,70.83617154
India,1977,70.36584404
India,1978,68.25818318
India,1979,67.29740746
India,1980,69.51525697
India,1981,68.65652259
India,1982,67.42739677
India,1983,67.92396188
India,1984,65.9782126
India,1985,65.66713936
India,1986,66.03890015
India,1987,66.09188499
India,1988,66.50332249
India,1989,64.88470332
India,1990,72.07915908
India,1991,71.58662166
India,1992,72.20777171
India,1993,73.42992291
India,1994,73.27656908
India,1995,70.41025948
India,1996,71.84906556
India,1997,71.06118189
India,1998,69.03476918
India,1999,67.40287437
India,2000,67.50127857
India,2001,67.05151813
India,2002,68.15149947
India,2003,68.1669595
India,2004,70.14530666
India,2005,70.47132938
India,2006,69.74984754
India,2007,70.75717399
India,2008,69.39112449
India,2009,65.66539581
India,2010,68.76645462
India,2011,71.44345143
India,2012,67.42655442
India,2013,69.62558523
India,2014,69.20933398
India,2015,69.46453016
India,2016,69.89561857
Pakistan,1960,41.63212435
Pakistan,1961,39.60470353
Pakistan,1962,38.43351548
Pakistan,1963,36.08635373
Pakistan,1964,34.2708534
Pakistan,1965,30.89774188
Pakistan,1966,26.2312827
Pakistan,1967,24.27332993
Pakistan,1968,22.96175511
Pakistan,1969,21.84013449
Pakistan,1970,20.05424137
Pakistan,1971,18.68743048
Pakistan,1972,13.2894227
Pakistan,1973,12.1522694
Pakistan,1974,10.71734292
Pakistan,1975,10.20214782
Pakistan,1976,8.84714194
Pakistan,1977,9.472259811
Pakistan,1978,9.020763187
Pakistan,1979,9.293873313
Pakistan,1980,10.87478559
Pakistan,1981,10.52126639
Pakistan,1982,12.41785189
Pakistan,1983,10.31753253
Pakistan,1984,11.22614871
Pakistan,1985,12.29692965
Pakistan,1986,12.6872312
Pakistan,1987,12.0350709
Pakistan,1988,12.22047244
Pakistan,1989,11.62846658
Pakistan,1990,13.98325307
Pakistan,1991,13.31575195
Pakistan,1992,12.50462343
Pakistan,1993,11.48734744
Pakistan,1994,12.08547016
Pakistan,1995,10.07948507
Pakistan,1996,10.91297833
Pakistan,1997,9.606784595
Pakistan,1998,9.081081291
Pakistan,1999,8.331549253
Pakistan,2000,8.064387336
Pakistan,2001,9.861111437
Pakistan,2002,12.49750804
Pakistan,2003,14.26004046
Pakistan,2004,13.31838004
Pakistan,2005,13.3637349
Pakistan,2006,15.81277793
Pakistan,2007,13.31273706
Pakistan,2008,12.76400992
Pakistan,2009,12.40239795
Pakistan,2010,12.12926786
Pakistan,2011,10.23188661
Pakistan,2012,9.421485872
Pakistan,2013,12.27264983
Pakistan,2014,11.79295006
Pakistan,2015,13.6692568
Pakistan,2016,
